Positive,Neutral,Negative,Date
0.0,100.0,0.0,2016-10-13
0.0,100.0,0.0,2016-10-14
0.0,100.0,0.0,2016-10-15
0.0,100.0,0.0,2016-10-17
0.0,100.0,0.0,2016-10-17
0.0,60.0,40.0,2016-10-17
0.0,85.71428571428571,14.285714285714285,2016-10-18
0.0,85.71428571428571,14.285714285714285,2016-10-18
0.0,85.71428571428571,14.285714285714285,2016-10-18
0.0,100.0,0.0,2016-10-18
0.0,80.0,20.0,2016-10-19
0.0,100.0,0.0,2016-10-19
0.0,100.0,0.0,2016-10-20
0.0,100.0,0.0,2016-10-23
0.0,100.0,0.0,2016-10-24
0.0,100.0,0.0,2016-10-24
0.0,0.0,100.0,2016-10-24
0.0,50.0,50.0,2016-10-25
0.0,100.0,0.0,2016-10-25
0.0,100.0,0.0,2016-10-26
0.0,60.0,40.0,2016-10-26
0.0,50.0,50.0,2016-10-27
0.0,33.33333333333333,66.66666666666666,2016-10-27
0.0,50.0,50.0,2016-10-28
0.0,80.0,20.0,2016-10-28
0.0,60.0,40.0,2016-10-29
0.0,100.0,0.0,2016-10-29
0.0,100.0,0.0,2016-10-30
0.0,100.0,0.0,2016-10-30
0.0,100.0,0.0,2016-10-31
0.0,100.0,0.0,2016-10-31
0.0,100.0,0.0,2016-11-01
0.0,100.0,0.0,2016-11-01
0,0,0,2016-11-01
0,0,0,2016-11-01
0,0,0,2016-11-01
0.0,100.0,0.0,2016-11-02
0.0,100.0,0.0,2016-11-02
0.0,100.0,0.0,2016-11-02
33.33333333333333,66.66666666666666,0.0,2016-11-03
0.0,100.0,0.0,2016-11-03
0.0,100.0,0.0,2016-11-04
0.0,100.0,0.0,2016-11-04
0.0,100.0,0.0,2016-11-04
0.0,75.0,25.0,2016-11-07
0.0,100.0,0.0,2016-11-07
0.0,100.0,0.0,2016-11-08
0.0,100.0,0.0,2016-11-08
20.0,80.0,0.0,2016-11-09
20.0,80.0,0.0,2016-11-09
0.0,66.66666666666666,33.33333333333333,2016-11-09
20.0,80.0,0.0,2016-11-09
0.0,75.0,25.0,2016-11-10
14.285714285714285,85.71428571428571,0.0,2016-11-10
0.0,100.0,0.0,2016-11-11
11.11111111111111,77.77777777777779,11.11111111111111,2016-11-11
11.11111111111111,88.88888888888889,0.0,2016-11-12
20.0,60.0,20.0,2016-11-12
0.0,80.0,20.0,2016-11-13
