Positive, Neutral, Negative, Date
2,33,10,2016-10-13
3,29,13,2016-10-14
4,34,11,2016-10-15
4,23,16,2016-10-17
3,22,16,2016-10-17
0,35,12,2016-10-18
4,43,4,2016-10-18
4,43,5,2016-10-19
3,43,5,2016-10-19
3,39,4,2016-10-20
1,38,9,2016-10-23
3,33,10,2016-10-24
4,30,12,2016-10-24
1,32,15,2016-10-24
1,36,16,2016-10-25
1,37,12,2016-10-25
2,38,9,2016-10-26
6,38,13,2016-10-26
2,39,12,2016-10-27
4,43,11,2016-10-27
1,45,10,2016-10-28
4,38,13,2016-10-28
2,33,16,2016-10-29
2,40,14,2016-10-29
1,40,14,2016-10-30
1,42,11,2016-10-30
3,38,14,2016-10-31
3,36,16,2016-10-31
1,36,15,2016-11-01
1,36,17,2016-11-02
2,38,14,2016-11-03
5,35,12,2016-11-03
5,29,15,2016-11-07
4,30,14,2016-11-07
3,39,11,2016-11-08
0,28,11,2016-11-09
0,25,10,2016-11-10
1,28,11,2016-11-10
1,29,14,2016-11-11
0,30,15,2016-11-11
0,24,16,2016-11-12
