Positive, Neutral, Negative, Date
1,20,4,2016-10-13
2,16,7,2016-10-14
0,18,3,2016-10-15
2,19,6,2016-10-17
2,21,6,2016-10-17
0,17,6,2016-10-18
0,7,11,2016-10-18
0,7,10,2016-10-19
0,12,7,2016-10-19
0,14,10,2016-10-20
0,17,5,2016-10-23
0,19,5,2016-10-24
0,19,5,2016-10-24
0,19,3,2016-10-24
0,15,2,2016-10-25
0,15,5,2016-10-25
0,17,4,2016-10-26
2,11,0,2016-10-26
2,13,2,2016-10-27
1,8,3,2016-10-27
0,12,2,2016-10-28
0,10,5,2016-10-28
1,12,6,2016-10-29
1,9,4,2016-10-29
1,9,5,2016-10-30
1,12,3,2016-10-30
0,13,2,2016-10-31
0,13,2,2016-10-31
0,16,2,2016-11-01
0,16,0,2016-11-02
0,13,3,2016-11-03
1,14,3,2016-11-03
0,17,4,2016-11-07
1,14,7,2016-11-07
2,12,3,2016-11-08
4,21,6,2016-11-09
3,25,7,2016-11-10
3,22,5,2016-11-10
2,19,5,2016-11-11
1,15,8,2016-11-11
2,21,7,2016-11-12
