Sanders,Clinton,Trump,Rubio,Cruz,Kasich,Date
64.0377358491,35.9622641509,57.3725168954,9.48187589597,25.230391153,7.9152160557,2016-03-10
57.2542467279,42.7457532721,65.676600886,8.07490938381,18.7172774869,7.53121224325,2016-03-14
62.5442948264,37.4557051736,63.6421319797,8.96785109983,20.3045685279,7.08544839255,2016-03-08
62.6984126984,37.3015873016,59.585492228,6.21761658031,29.0155440415,5.18134715026,2016-03-09
52.6214526215,47.3785473785,67.1871950029,3.14268983018,21.9109896545,7.7591255124,2016-03-16
37.3770491803,62.6229508197,63.8967325534,11.7386042759,20.0080677693,4.35659540137,2016-03-04
57.1428571429,42.8571428571,65.5337025014,8.24899751766,22.9138819935,3.3034179874,2016-03-05
48.0746791132,51.9253208868,59.5228467448,8.97695107157,27.6182773959,3.88192478771,2016-03-06
51.8327974277,48.1672025723,61.6131881072,11.0685899323,23.8740064763,3.44421548425,2016-03-07
64.2955665025,35.7044334975,67.6535433071,6.74015748031,17.3333333333,8.27296587927,2016-03-13
64.4444444444,35.5555555556,71.2804288602,6.56472449249,18.0595834432,4.09526320415,2016-03-11
44.2804428044,55.7195571956,78.9992119779,6.18597320725,12.549251379,2.26556343578,2016-03-03
