Sanders,Clinton,Trump,Rubio,Cruz,Kasich,Date
56.0522081173,43.9477918827,61.3911933631,0.255264837269,31.0359497979,7.3175920017,2016-04-20
56.9129178704,43.0870821296,63.5773061932,1.21264616717,29.7531398874,5.45690775227,2016-03-28
57.3789846517,42.6210153483,66.8224299065,0.467289719626,30.3738317757,2.33644859813,2016-03-29
59.4898400346,40.5101599654,67.5601274993,0.289771080846,26.5285424515,5.62155896841,2016-04-03
61.4732837628,38.5267162372,66.285610597,0.163309744148,27.0912720015,6.45980765741,2016-04-02
60.2209944751,39.7790055249,62.2057001239,0.0,34.9442379182,2.85006195787,2016-04-01
56.0259546857,43.9740453143,60.4219409283,0.151898734177,34.9367088608,4.48945147679,2016-04-07
59.3788819876,40.6211180124,60.8832807571,0.363253991014,33.7635025332,4.98996271867,2016-04-06
59.5209580838,40.4790419162,66.0169491525,0.847457627119,27.2881355932,5.84745762712,2016-04-05
60.5427974948,39.4572025052,69.5894224078,0.556715379262,23.6604036186,6.19345859429,2016-04-04
65.8623289885,34.1376710115,63.1334822195,0.154612609517,29.1015289469,7.61037622402,2016-04-09
63.4090508892,36.5909491108,57.6540755467,0.340812269242,36.0124964499,5.99261573417,2016-04-08
61.7495158167,38.2504841833,68.6483931947,0.255198487713,25.0378071834,6.05860113422,2016-03-31
100.0,0.0,64.1509433962,0.0,22.641509434,13.2075471698,2016-03-30
67.9492112351,32.0507887649,73.4343936382,0.22365805169,22.7882703777,3.55367793241,2016-04-10
68.6180165731,31.3819834269,64.7482800044,0.327618215573,28.0222780387,6.9018237414,2016-04-11
65.3538123971,34.6461876029,68.7962846743,0.702899460274,25.8817622694,4.61905359608,2016-04-12
70.0037460199,29.9962539801,65.4436744123,0.4620192961,28.3734203017,5.72088598994,2016-04-13
74.1573033708,25.8426966292,67.7966101695,1.12994350282,28.2485875706,2.82485875706,2016-04-14
59.8258706468,40.1741293532,59.0005099439,0.713921468638,34.4212136665,5.86435492096,2016-04-15
65.134580292,34.865419708,62.5039720369,0.174769621862,31.3632030505,5.95805529075,2016-04-16
64.6885283105,35.3114716895,63.551701991,0.272960822094,30.7803468208,5.39499036609,2016-04-17
62.337062032,37.662937968,66.1649458888,0.28610523697,27.2919517353,6.25699713895,2016-04-18
59.6353156349,40.3646843651,61.1079195732,0.31185884284,32.3266311038,6.2535904801,2016-04-19
