Positive, Neutral, Negative, Date
1,19,8,2016-10-13
0,23,11,2016-10-14
2,25,8,2016-10-15
1,27,7,2016-10-17
1,27,7,2016-10-17
3,26,11,2016-10-17
3,23,9,2016-10-18
3,23,9,2016-10-18
3,23,9,2016-10-18
3,20,12,2016-10-18
3,19,11,2016-10-19
3,27,11,2016-10-19
3,23,9,2016-10-20
3,23,6,2016-10-23
2,21,12,2016-10-24
0,16,12,2016-10-24
1,22,14,2016-10-24
1,17,13,2016-10-25
0,27,9,2016-10-25
0,23,10,2016-10-26
1,20,10,2016-10-26
0,30,7,2016-10-27
2,22,7,2016-10-27
2,20,7,2016-10-28
1,21,6,2016-10-28
0,24,5,2016-10-29
0,25,6,2016-10-29
1,25,5,2016-10-30
2,22,8,2016-10-30
0,27,6,2016-10-31
0,19,10,2016-10-31
0,15,13,2016-11-01
0,22,10,2016-11-01
0,21,11,2016-11-01
0,21,11,2016-11-01
0,21,11,2016-11-01
1,16,14,2016-11-02
2,19,6,2016-11-02
3,17,7,2016-11-02
2,17,6,2016-11-03
2,24,2,2016-11-03
3,24,2,2016-11-04
1,22,8,2016-11-04
1,22,8,2016-11-04
0,19,5,2016-11-07
1,19,13,2016-11-07
1,26,2,2016-11-08
0,19,8,2016-11-08
1,15,11,2016-11-09
0,17,10,2016-11-09
0,20,11,2016-11-09
0,20,6,2016-11-09
0,19,6,2016-11-10
1,14,10,2016-11-10
1,11,11,2016-11-11
2,14,7,2016-11-11
1,14,9,2016-11-12
3,17,9,2016-11-12
4,20,4,2016-11-13
