Positive, Neutral, Negative, Date
0,17,13,2016-11-01
0,14,12,2016-11-01
0,14,12,2016-11-01
0,14,12,2016-11-01
0,11,8,2016-11-02
0,13,8,2016-11-02
0,12,5,2016-11-02
0,17,8,2016-11-03
1,15,6,2016-11-03
0,12,6,2016-11-04
3,12,5,2016-11-04
3,12,5,2016-11-04
0,13,5,2016-11-07
1,13,4,2016-11-07
2,15,4,2016-11-08
2,24,9,2016-11-08
1,17,10,2016-11-09
1,17,10,2016-11-09
1,10,8,2016-11-09
0,7,7,2016-11-09
0,12,2,2016-11-10
1,21,7,2016-11-01
2,13,4,2016-10-31
3,16,5,2016-10-31
2,14,5,2016-10-30
0,11,7,2016-10-30
0,8,3,2016-10-29
0,8,4,2016-10-29
0,14,6,2016-10-28
1,13,3,2016-10-28
1,18,9,2016-10-27
2,23,3,2016-10-27
1,16,6,2016-10-26
0,23,8,2016-10-26
0,19,9,2016-10-25
0,23,9,2016-10-25
1,22,7,2016-10-24
1,9,3,2016-10-24
1,8,4,2016-10-24
1,13,3,2016-10-23
1,11,6,2016-10-20
0,16,8,2016-10-19
3,25,3,2016-10-19
0,19,9,2016-10-18
1,17,7,2016-10-18
1,18,7,2016-10-17
0,13,13,2016-10-17
0,15,7,2016-10-15
0,17,5,2016-10-14
1,16,10,2016-10-13
