Positive, Neutral, Negative, Date
0,14,5,2016-11-01
0,15,5,2016-11-01
0,15,5,2016-11-01
0,15,5,2016-11-01
0,28,2,2016-11-02
0,27,2,2016-11-02
1,29,2,2016-11-02
0,19,6,2016-11-03
0,18,3,2016-11-03
3,21,4,2016-11-04
2,23,5,2016-11-04
2,23,5,2016-11-04
0,25,4,2016-11-07
0,23,6,2016-11-07
0,24,4,2016-11-08
1,11,2,2016-11-08
1,15,2,2016-11-09
1,15,2,2016-11-09
2,22,5,2016-11-09
1,26,8,2016-11-09
2,23,10,2016-11-10
2,12,7,2016-11-01
1,22,7,2016-10-31
1,20,4,2016-10-31
1,20,7,2016-10-30
0,24,8,2016-10-30
1,30,7,2016-10-29
1,28,8,2016-10-29
0,22,8,2016-10-28
1,19,13,2016-10-28
1,13,7,2016-10-27
3,14,5,2016-10-27
2,18,7,2016-10-26
2,13,4,2016-10-26
0,16,6,2016-10-25
1,14,2,2016-10-25
1,15,4,2016-10-24
1,22,13,2016-10-24
1,23,12,2016-10-24
1,16,13,2016-10-23
1,16,12,2016-10-20
0,21,4,2016-10-19
0,13,5,2016-10-19
0,18,4,2016-10-18
0,18,7,2016-10-18
1,16,7,2016-10-17
2,13,8,2016-10-17
0,20,8,2016-10-15
0,19,3,2016-10-14
0,16,5,2016-10-13
