Positive, Neutral, Negative, Date
3,15,7,2016-10-13
2,19,5,2016-10-14
2,17,7,2016-10-15
0,18,3,2016-10-17
2,19,5,2016-10-17
1,18,8,2016-10-18
0,25,6,2016-10-18
1,19,4,2016-10-19
2,22,3,2016-10-19
2,15,4,2016-10-20
1,21,4,2016-10-23
2,16,7,2016-10-24
2,25,7,2016-10-24
0,22,5,2016-10-24
0,24,10,2016-10-25
1,27,8,2016-10-25
2,18,7,2016-10-26
2,19,4,2016-10-26
0,25,5,2016-10-27
2,20,6,2016-10-27
2,16,6,2016-10-28
0,20,2,2016-10-28
0,18,3,2016-10-29
1,14,4,2016-10-29
0,14,5,2016-10-30
1,16,4,2016-10-30
0,22,5,2016-10-31
2,29,6,2016-10-31
1,19,3,2016-11-01
1,29,2,2016-11-01
2,25,2,2016-11-01
2,25,2,2016-11-01
2,25,2,2016-11-01
1,18,10,2016-11-02
1,21,7,2016-11-02
1,22,6,2016-11-02
1,22,7,2016-11-03
0,20,4,2016-11-03
2,19,2,2016-11-04
2,19,8,2016-11-04
2,19,8,2016-11-04
2,28,10,2016-11-07
0,30,5,2016-11-07
2,37,4,2016-11-08
0,22,5,2016-11-08
1,14,7,2016-11-09
1,14,7,2016-11-09
3,18,5,2016-11-09
3,16,5,2016-11-09
2,17,6,2016-11-10
3,8,2,2016-11-10
1,16,5,2016-11-11
