Positive,Neutral,Negative,Date
0,0,0,2016-11-15
0,0,0,2016-11-14
0.0,100.0,0.0,2016-11-14
0.0,100.0,0.0,2016-11-14
0.0,100.0,0.0,2016-11-13
0.0,100.0,0.0,2016-11-13
0.0,100.0,0.0,2016-11-12
0.0,100.0,0.0,2016-11-12
0.0,100.0,0.0,2016-11-11
0.0,100.0,0.0,2016-11-11
0.0,100.0,0.0,2016-11-10
25.0,75.0,0.0,2016-11-10
33.33333333333333,66.66666666666666,0.0,2016-11-09
40.0,60.0,0.0,2016-11-09
66.66666666666666,33.33333333333333,0.0,2016-11-09
66.66666666666666,33.33333333333333,0.0,2016-11-09
0,0,0,2016-11-08
0,0,0,2016-11-08
0,0,0,2016-11-07
0,0,0,2016-11-07
100.0,0.0,0.0,2016-11-04
100.0,0.0,0.0,2016-11-04
0,0,0,2016-11-04
0,0,0,2016-11-03
0.0,100.0,0.0,2016-11-03
0,0,0,2016-11-02
0,0,0,2016-11-02
0,0,0,2016-11-02
0,0,0,2016-11-01
0,0,0,2016-11-01
0,0,0,2016-11-01
0,0,0,2016-11-01
0,0,0,2016-11-01
0,0,0,2016-10-31
0,0,0,2016-10-31
0,0,0,2016-10-30
0,0,0,2016-10-30
0,0,0,2016-10-29
0,0,0,2016-10-29
0,0,0,2016-10-28
0,0,0,2016-10-28
0,0,0,2016-10-27
0,0,0,2016-10-27
0,0,0,2016-10-26
0,0,0,2016-10-26
0,0,0,2016-10-25
0.0,0.0,100.0,2016-10-25
0,0,0,2016-10-24
0,0,0,2016-10-24
0,0,0,2016-10-24
0,0,0,2016-10-23
0,0,0,2016-10-20
0,0,0,2016-10-19
0,0,0,2016-10-19
0,0,0,2016-10-18
0,0,0,2016-10-18
0,0,0,2016-10-17
0,0,0,2016-10-17
0,0,0,2016-10-15
0,0,0,2016-10-14
0,0,0,2016-10-13
