Positive, Neutral, Negative, Date
0,0,0,2016-11-15
0,0,0,2016-11-14
0,1,0,2016-11-14
0,1,0,2016-11-14
0,1,0,2016-11-13
0,2,0,2016-11-13
0,2,0,2016-11-12
0,2,0,2016-11-12
0,4,0,2016-11-11
0,4,0,2016-11-11
0,3,0,2016-11-10
2,6,0,2016-11-10
2,4,0,2016-11-09
2,3,0,2016-11-09
2,1,0,2016-11-09
2,1,0,2016-11-09
0,0,0,2016-11-08
0,0,0,2016-11-08
0,0,0,2016-11-07
0,0,0,2016-11-07
1,0,0,2016-11-04
1,0,0,2016-11-04
0,0,0,2016-11-04
0,0,0,2016-11-03
0,1,0,2016-11-03
0,0,0,2016-11-02
0,0,0,2016-11-02
0,0,0,2016-11-02
0,0,0,2016-11-01
0,0,0,2016-11-01
0,0,0,2016-11-01
0,0,0,2016-11-01
0,0,0,2016-11-01
0,0,0,2016-10-31
0,0,0,2016-10-31
0,0,0,2016-10-30
0,0,0,2016-10-30
0,0,0,2016-10-29
0,0,0,2016-10-29
0,0,0,2016-10-28
0,0,0,2016-10-28
0,0,0,2016-10-27
0,0,0,2016-10-27
0,0,0,2016-10-26
0,0,0,2016-10-26
0,0,0,2016-10-25
0,0,1,2016-10-25
0,0,0,2016-10-24
0,0,0,2016-10-24
0,0,0,2016-10-24
0,0,0,2016-10-23
0,0,0,2016-10-20
0,0,0,2016-10-19
0,0,0,2016-10-19
0,0,0,2016-10-18
0,0,0,2016-10-18
0,0,0,2016-10-17
0,0,0,2016-10-17
0,0,0,2016-10-15
0,0,0,2016-10-14
0,0,0,2016-10-13
