Positive, Neutral, Negative, Date
0,10,1,2016-11-15
0,8,3,2016-11-14
0,8,2,2016-11-14
0,8,2,2016-11-14
0,8,2,2016-11-13
1,7,1,2016-11-13
0,8,1,2016-11-12
0,7,2,2016-11-12
0,6,1,2016-11-11
0,6,1,2016-11-11
0,7,1,2016-11-10
0,5,0,2016-11-10
0,7,1,2016-11-09
0,8,1,2016-11-09
0,10,1,2016-11-09
0,10,1,2016-11-09
0,10,1,2016-11-08
0,11,0,2016-11-08
0,11,0,2016-11-07
0,9,2,2016-11-07
0,8,2,2016-11-04
0,8,2,2016-11-04
0,8,3,2016-11-04
0,8,3,2016-11-03
0,8,2,2016-11-03
0,7,4,2016-11-02
0,7,4,2016-11-02
0,8,3,2016-11-02
0,7,3,2016-11-01
0,7,3,2016-11-01
0,7,3,2016-11-01
0,7,3,2016-11-01
0,9,2,2016-11-01
0,10,1,2016-10-31
0,8,3,2016-10-31
0,9,2,2016-10-30
0,8,2,2016-10-30
0,10,0,2016-10-29
0,10,0,2016-10-29
1,9,0,2016-10-28
0,9,2,2016-10-28
0,9,2,2016-10-27
0,7,4,2016-10-27
0,7,4,2016-10-26
0,9,2,2016-10-26
0,8,3,2016-10-25
0,7,3,2016-10-25
0,8,3,2016-10-24
0,8,3,2016-10-24
0,10,1,2016-10-24
0,9,2,2016-10-23
0,10,1,2016-10-20
0,8,3,2016-10-19
0,9,2,2016-10-19
0,9,2,2016-10-18
0,7,4,2016-10-18
0,6,5,2016-10-17
0,10,1,2016-10-17
1,8,2,2016-10-15
1,7,3,2016-10-14
0,8,3,2016-10-13
